sample_idx,timestamp_ms,route_id,ship_x,ship_y,heading_deg,target_heading_deg,rudder_command,dist_to_dest,cross_track_error
0,1788282899391,route_1788282898309,443.07433767189445,1793.015244568092,329.80862241240766,355.74197856166194,-5.446427328595383,3088.87205613997,-3.53713040486521
1,1788282899645,route_1788282898309,446.36257507427786,1792.781199170733,329.78822216693425,356.08527831045234,-5.074216199134208,3085.8319035091704,-4.616271350184695
2,1788282900208,route_1788282899799,448.33885872172664,1792.6508132840681,329.77548207078326,356.2732086574972,-11.074861911425614,3084.0096180397404,-0.5185793140307292
3,1788282900474,route_1788282899799,453.18780980898816,1792.3544918873322,329.7420631883956,356.6738439567043,-10.222948772055497,3079.55000596853,-2.4397128159495267
4,1788282900727,route_1788282899799,456.5026976702001,1792.1691547851938,329.7175576184094,356.90542386776167,-9.75673808242027,3076.509776260464,-3.770769664242942
5,1788282901143,route_1788282899799,457.8288851121169,1792.0986076370637,329.7073907720684,356.9897747048893,-9.569210679267234,3075.2952633382224,-4.30557556381644
6,1788282901408,route_1788282899799,462.7020380387009,1791.8557905043342,329.6682942165394,357.2643330025474,-8.872896497194779,3070.8407112903024,-6.287520251057579
7,1788282901673,route_1788282899799,466.2504384117024,1791.6918657915048,329.63838916438954,357.4310679670716,-8.36047808377225,3067.6037740872675,-7.742321387548603
8,1788282902216,route_1788282899799,468.2495887038205,1791.6038100017051,329.6210381572805,357.5143689715409,-8.070086505475047,3065.782359142297,-8.565280755907692
9,1788282902475,route_1788282899799,472.9141858432933,1791.4092750076545,329.5792171663677,357.6826838714359,-7.387266170894691,3061.5383075101436,-10.496067949498666
10,1788282902742,route_1788282899799,476.4678307529842,1791.2690381998502,329.5463452060219,357.78798272372586,-6.8627647551275,3058.309502580942,-11.975742568471373
11,1788282903129,route_1788282899799,477.8029386913033,1791.2179497056923,329.5337862635308,357.82303581793855,-6.665283552265101,3057.0973527483575,-12.532130070930945
12,1788282903394,route_1788282903255,482.193291420753,1791.087735456381,329.48574172331996,358.7143974553969,-35,3053.129278778664,0
13,1788282903664,route_1788282903255,485.62400086227285,1791.0414210552196,329.4407409865769,359.70191023264397,-35,3050.054638819813,0
14,1788282904191,route_1788282903255,487.9346977000039,1791.0456514551681,329.40611667163523,0.4224004140147599,-35,3048.00036226571,0
15,1788282904442,route_1788282903255,492.2465531381934,1791.1352779580623,329.33161915125345,1.7834570288814575,-35,3044.2053298966953,0
